project_id,name,description,start_date,end_date,budget,manager_id
6ba25efe-311c-4eb6-a095-eef68dedf9fb,Repurpose enterprise methodologies,Notice image street fight decision size parent focus. Kind degree list top somebody college.,2020-08-14,2027-09-30,163924.7,dd2467ac-778e-4db3-a93d-ffbc6c6fa611
935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,Aggregate integrated models,Imagine my indeed deal information toward. Watch affect thing offer local wall fear hope.,2020-06-05,2024-06-04,111188.17,118a9d29-2f92-4996-99f1-95d014822f53
74672cd9-362f-4e5c-93cd-6268610cf373,Harness cross-platform architectures,Edge bank affect much yourself glass. Sit prepare senior wear.,2021-06-05,2021-12-12,105749.21,dd2467ac-778e-4db3-a93d-ffbc6c6fa611
f6f7f0cc-29ec-4e49-91bd-b8c0c71d5e60,Monetize sticky applications,Office traditional heart walk cup.,2025-01-14,2024-07-25,607688.77,bdd640fb-0667-4ad1-9c80-317fa3b1799d
d4aac9a3-3ed8-456c-9a09-dfa052828d80,Re-contextualize e-business niches,Firm sea week real course. Everybody operation set others wonder strategy fast.,2024-01-24,2021-12-09,732434.47,01a9e71f-de8a-474b-8f36-d58b47378190
7de31a51-6694-4343-90ba-58e3d2762bdc,Optimize scalable eyeballs,We be easy newspaper indicate other peace. Herself training father open investment notice art.,2021-12-20,2024-11-25,973384.61,118a9d29-2f92-4996-99f1-95d014822f53
dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,Target intuitive methodologies,Skin person product value interesting. Different chance enter central arrive society organization.,2024-05-31,2027-07-10,88012.2,3a9bedd4-0f12-49e0-a18f-f6b6b535106e
ff37d19c-2e76-428b-8735-44f9ea83bf00,Benchmark user-centric functionalities,Like impact fly bit. Form really explain war. Already because education break significant ten stay.,2022-04-09,2029-05-05,831110.62,dd2467ac-778e-4db3-a93d-ffbc6c6fa611
70286046-49bc-473f-ad7b-f656218a1536,Matrix holistic initiatives,Participant dream citizen nearly need behavior yeah tree.,2023-07-13,2025-10-12,581578.62,01a9e71f-de8a-474b-8f36-d58b47378190
44656d6b-81fb-48b3-89a7-d91fef2ae713,Transition clicks-and-mortar technologies,Oil process tend land machine forward several help. Thank wonder draw him task improve.,2021-03-23,2026-12-22,55366.14,badcc32a-c159-4f53-8a0f-4efbedcd465e
